idOrganizacion,IdEnsayo,EsyFechaRegistro,EsyLugarEjecucion,EsyTipoEnsayo,EsyEnsayo,EsyMuestra,EsyTecnica,EsyIntervaloMedicion,EsyMetodo
194,LEN-1,--,--,--,"Demanda química de óxigeno (DQO)",--,Colorimetría,--,"<p>SM 5220D</p>"
194,LEN-2,--,--,--,"Demanda bioquímica de oxígeno (DBO5)",--,Volumetría,--,"<p>SM 5210B /SM4500-O C</p>"
194,LEN-3,--,--,--,"Sólidos disueltos totales",--,Gravimetría,--,<p>SM2540C</p>
194,LEN-4,--,--,--,"Conductividad eléctrica",--,Electrometría,--,"<p>SM2510 B</p>"
194,LEN-5,--,--,--,"Sólidos sedimentables",--,Volumetría,--,"<p>SM 2540F</p>"
194,LEN-6,--,--,--,"Sólidos totales suspendidos",--,Gravimetría,--,"<p>SM 2540D</p>"
194,LEN-7,--,--,--,"Potencial de hidrógeno  (pH)",--,Potenciometría,--,"<p>SM 4500 - H+ B</p>"
194,LEN-8,--,--,--,"Sólidos totales",--,Gravimetría,--,<p>SM2540B</p>
194,LEN-9,--,--,--,Humedad,--,Gravimetría,--,"<p>ISO 10251:2006</p>"
191,LEN-10,--,--,--,Ceniza,--,Gravimetría,--,"AOAC Ed 21, 2019, 923.03"
191,LEN-11,--,--,--,Proteína,--,Kjheldal,--,"AOAC Ed 21, 2019, 2001.11"
191,LEN-12,--,--,--,Grasa,--,Gravimetría,--,"AOAC Ed 21, 2019, 2003.06"
191,LEN-13,--,--,--,Humedad,--,Gravimetría,--,"AOAC Ed 21, 2019, 925.10"
191,LEN-14,--,--,--,Ceniza,--,Gravimetría,--,"AOAC Ed 21, 2019, 923.03"
191,LEN-15,--,--,--,Proteína,--,Kjheldal,--,"AOAC Ed 21, 2019, 2001.11"
191,LEN-16,--,--,--,Humedad,--,Gravimetría,--,"AOAC Ed 21, 2019, 925.10"
191,LEN-17,--,--,--,Grasa,--,Gravimetría,--,"AOAC Ed 21, 2019, 991.36"
191,LEN-18,--,--,--,Ceniza,--,Gravimetría,--,"AOAC Ed 21, 2019, 930.30"
191,LEN-19,--,--,--,Ceniza,--,Gravimetría,--,"AOAC Ed 21, 2019, 923.03"
191,LEN-20,--,--,--,Proteína,--,Kjheldal,--,"AOAC Ed 21, 2019, 2001.11"
191,LEN-21,--,--,--,Humedad,--,Gravimetría,--,"AOAC Ed 21, 2019, 925.10"
191,LEN-22,--,--,--,Grasa,--,Gravimetría,--,"AOAC Ed 21, 2019, 2003.06"
191,LEN-23,--,--,--,Ceniza,--,Gravimetría,--,"AOAC Ed 21, 2019, 923.03"
191,LEN-24,--,--,--,Proteína,--,Kjheldal,--,"AOAC Ed 21, 2019, 2001.11"
