idOrganizacion,IdLaboratorioCalibracion,ClbFechaRegistro,ClbLugarEjecucion,ClbMagnitud,ClbInstrumento,ClbIntervaloMedicion,ClbIncertidumbreExpandida,ClbPrincipioMedicion,ClbMetodoMedicion,ClbPatronUtilizado,ClbVigenteApartirDe
289,LC-1,--,--,"Resistencia Eléctrica","Megóhmetros digitales",--,"<p><strong>Megóhmetros</strong></p><p>5,8 kΩ   </p><p>5,9 kΩ   </p><p>59 kΩ   &nbsp;   </p><p><br></p><p>3,9 MΩ   </p><p>0,070 GΩ   </p><p>0,79 GΩ </p>",--,--,--,--
289,LC-2,--,--,Masa,"Balanzas de: Clase III exactitud media y Clase IIII Exactitud Ordinaria.",--,"<p><strong>Instrumentos de pesaje de funcionamiento no automático&nbsp;(Balanzas)</strong></p><p> 0,16 g</p><p> 0,016 kg</p><p> 0,082 kg</p>",--,--,--,--
289,LC-3,--,--,Masa,"Balanzas de: Clase III exactitud media y Clase IIII Exactitud Ordinaria.",--,"<p><strong>Instrumentos de pesaje de funcionamiento no automático&nbsp;(Balanzas)&nbsp;</strong></p><p> 0,16&nbsp;g</p><p> 0,082 kg</p><p> 0,41 kg</p>",--,--,--,--
289,LC-4,--,--,"Presión y vacío","Transductor de presión,Transmisores de presión con salida eléctrica",--,"<p><strong>Medidores de presión con salida electrica&nbsp;</strong></p><p>0,465 kPa 0,0674 psi</p><p>0,579 kPa 0,0840 psi</p><p>0,711 kPa 0,1031 psi</p><p>8,528 kPa 1,237 psi</p><p>11,89 kPa 1,724 psi</p><p>16,732 kPa 2,43 psi</p>",--,--,--,--
289,LC-5,--,--,"Presión y vacío","Transductor de presión,Transmisores de presión con salida eléctrica",--,"<p><strong>Medidores de presión con salida electrica&nbsp;</strong></p><p>0,465 kPa 0,0674 psi</p><p>0,579 kPa 0,0840 psi</p><p>0,711 kPa 0,1031 psi</p><p>8,528 kPa 1,237 psi</p><p>11,89 kPa 1,724 psi</p><p>16,732 kPa 2,43 psi</p>",--,--,--,--
289,LC-6,--,--,"Tensión corriente continua","Multímetros Digitales de 4 ½ dígitos",--,"<p>0,59 mV </p><p>0,00058 V </p><p>0,00071 V </p><p>0,0061 V </p><p>0,58 V</p>",--,--,--,--
289,LC-7,--,--,"Tensión corriente continua","Pinzas Amperimétricas",--,"<p>0,0058 V </p><p>0,0069 V </p><p>0,059 V</p>",--,--,--,--
289,LC-8,--,--,"Tensión de corriente alterna (60 Hz a 1 kHz)","Multímetros Digitales de 4 ½ dígitos",--,"<p>0,073 mV </p><p>0,00029 V </p><p>0,0028 V </p><p>0,013 V </p><p>0,37 V</p>",--,--,--,--
289,LC-9,--,--,"Tensión de corriente alterna (60 Hz a 1 kHz)","Pinzas Amperimétricas",--,"<p>0,0071 V</p><p>0,033 V </p><p>0,085 V</p>",--,--,--,--
289,LC-10,--,--,"Intensidad corriente continua","Multímetros Digitales de 4 ½ dígitos",--,"<p>0,0059 mA </p><p>0,011 mA </p><p>0,00023 A </p><p>0,0028 A</p>",--,--,--,--
