OnaSiglas,IdOrganizacion,OrgFechaRegistro,OrgNombreComercial,OrgRazonSocial,OrgCodigoAcreditacion,OrgPais,OrgCiudad,OrgDireccion,OrgWeb,orgCorreo,orgTelefono,OrgEstadoAcreditado,OrgEsquemaAcreditado,OrgNormaAcreditada,OrgReconocimiento,OrgFechaEfectivaAcreditacion,OrgPeriodoVigencia,OrgFechaActualizacion,OrgUrlCertificado
SAE,316,--,"ABGES CIA. LTDA.","ABGES LABORATORIO ANALITICO AMBIENTAL CIA. LTDA.","SAE LEN 16-013",Ecuador,Quito,"Barrio: SERVIDORES DE LA SALUD Calle: MIGUEL DE SANTIAGO Número: LOTE 213 Intersección: CALLE CUARTA Número de piso: PB Referencia: AUTOPISTA GENERAL RUMIÑAHUI, PUENTE 5 VIA A LOS CHILLOS, CASA PORTONES NEGROS Y CHIMENEA TOMATE",NULL,123monitoreo@abges.com,"+593 93 994 0160",Acreditado,ENSAYOS,"NTE INEN-ISO/IEC 17025:2018",Nacional,--,--,"2024-11-13 04:22:07","https://sisac.acreditacion.gob.ec/storage/users/abgescialtda/accreditation_application/740/pdf_actives_scopes/2024_11_13_09_22_07_Alcances_SAE LEN 15 - 019_20241113_092202.pdf"
SAE,527,--,ABRUS,"ABRUS Ingeniería y Medio Ambiente Cía. Ltda.","SAE LEN 07-001",Ecuador,Quito,"N5H Chimborazo OE11-31 y Tungurahua",NULL,123ggeneral@abrus.com.ec,"+593 99 986 7674",Retirado,ENSAYOS,"NTE INEN-ISO/IEC 17025:2018",Nacional,--,--,"2024-04-30 11:00:06","https://sisac.acreditacion.gob.ec/storage/users/abrus2022/accreditation_application/1153/pdf_actives_scopes/2024_04_30_16_00_06_Alcances_OAE PLC E2-06-004_20240430_160001.pdf"
SAE,327,--,"Acerías Nacionales del Ecuador ANDEC S.A.","Acerías Nacionales del Ecuador Sociedad Anónima A.N.D.E.C.","SAE LEN 17-014",Ecuador,Guayaquil,"Barrio: Guasmo central  Calle: av. Las exclusas  Número: Solar 9  Intersección: Primer Pasaje 12C SE  Edificio: Complejo Siderurgico ANDEC  Manzana:2009  Referencia: Frente a la fabrica de ACEROPAXI",NULL,123mmurillo@andec.com.ec,"+593 4-371-3590",Acreditado,ENSAYOS,"NTE INEN-ISO/IEC 17025:2018",Nacional,--,--,"2024-07-22 05:58:50","https://sisac.acreditacion.gob.ec/storage/users/andec2022/accreditation_application/1331/pdf_actives_scopes/2024_07_22_10_58_50_Alcances_E -SAE LEN 16.006_20240722_105844.pdf"
SAE,354,--,"ACG S.A.","CERGESTCAL AMERICA CERTIFICATION GROUP S.A.","SAE CSC 09-001",Ecuador,Quito,"Av. 10 de Agosto y José Riofrío. Edif. Benalcazar Mil Oficina 504",NULL,123direccion_tecnica@amcergroup.com,"+593 2-600-0382",Acreditado,"SISTEMAS DE GESTIÓN DE CALIDAD","ISO/IEC 17021-1, ISO/IEC 17021-3",Nacional,--,--,"2024-11-18 08:28:01","https://sisac.acreditacion.gob.ec/storage/users/acg2022/accreditation_application/1034/pdf_actives_scopes/2024_11_18_13_28_01_Alcances_OAE PCSC E 08-001_20241118_132800.pdf"
SAE,356,--,"ACG S.A.","CERGESTCAL AMERICA CERTIFICATION GROUP S.A.","SAE CSA 18-001",Ecuador,Quito,"Av. 10 de Agosto y José Riofrío. Edif. Benalcazar Mil Oficina 504",NULL,123asistencia_tecnica2@amcergroup.com,"+593 2-600-0382",Acreditado,"SISTEMAS DE GESTIÓN AMBIENTAL","ISO/IEC 17021-1, ISO/IEC 17021-2 ",Nacional,--,--,"2024-02-07 03:37:23",https://sisac.acreditacion.gob.ec/storage/users/acg2022ambiente/accreditation_application/1038/pdf_actives_scopes/2024_02_07_08_37_23_Alcances_E-SAE-CSGA-17.002_20240207_083717.pdf
SAE,494,--,ACLAB,"ACLAB ASESORÍA, CONSULTORÍA Y LABORATORIO AMBIENTAL S.A.S. B.I.C.","SAE LEN 23-008",Ecuador,Quito,"Sauces del Valle, Calle B E20 750 y Calle A",NULL,123calidad.aclab@gmail.com,"+593 95 868 9461",Acreditado,ENSAYOS,"NTE INEN-ISO/IEC 17025:2018",Nacional,--,--,"2024-02-16 05:55:19",https://sisac.acreditacion.gob.ec/storage/users/aclab/accreditation_application/1308/pdf_actives_scopes/2024_02_16_10_55_19_Alcances_E-SAE-LEN-23-0053_20240216_105510.pdf
SAE,167,--,"ACOSSAND INSPECCIÓN Y CONTROL AMBIENTAL","ACOSSAND GESTOR AMBIENTAL CIA. LTDA.","SAE OI 19-005",Ecuador,Quito,"DIEGO DE ALMAGRO y PEDRO PONCE CARRASCO Numero: E8-06,  EDIFICIO ALMAGRO PLAZA",NULL,123calidad@acossand.com,"+593 99 349 3027",Acreditado,INSPECCION,"NTE INEN-ISO/IEC 17020:2013",Nacional,--,--,"2024-02-20 06:51:50",https://sisac.acreditacion.gob.ec/storage/users/calidad/accreditation_application/1700/pdf_actives_scopes/2024_02_20_11_51_50_Alcances_E-SAE-OI-18-009_20240220_115140.pdf
SAE,117,--,ADELCA,"ACERIA DEL ECUADOR CA ADELCA","SAE LEN 22-013",Ecuador,Mejí­a,"CALLE DEL ESTABLO N°50 Y DEL CHARRO EDF. SITE CENTER",NULL,123pgualotunia@adelca.com,"+593 2-396-8100",Acreditado,ENSAYOS,"NTE INEN-ISO/IEC 17025:2018",Nacional,--,--,"2024-07-11 04:40:11",https://sisac.acreditacion.gob.ec/storage/users/adelca/accreditation_application/1365/pdf_actives_scopes/2024_07_11_09_40_11_Alcances_E-SAE-LEN-22-004_20240711_094004.pdf
SAE,339,--,"ADEMINSA DEL ECUADOR S.A.","ADEMINSA DEL ECUADOR S.A.","SAE OI 23-005",Ecuador,Guayaquil,"CIUDADELA ALBORADA 8AVA ETAPA MZ 822 SOLAR 7",NULL,123info@ademinsaec.com,"+593 4-223-4255",Acreditado,INSPECCION,"NTE INEN-ISO/IEC 17020:2013",Nacional,--,--,"2024-02-07 02:37:08",https://sisac.acreditacion.gob.ec/storage/users/wgoycochea/accreditation_application/639/pdf_actives_scopes/2024_02_07_07_37_08_Alcances_E-SAE-OI-22-013_20240207_073658.pdf
SAE,388,--,AENOR,"AENOR CONFÍA S.A.U.","SAE CSGAS 19-001",España,Madrid,"GÉNOVA,6",NULL,123calidad@aenor.com,"+34 620 20 24 78",Acreditado,"SISTEMAS DE GESTIÓN ANTISOBORNO","ISO/IEC 17021-1, ISO/IEC TS 17021-9",Internacional,--,--,"2024-02-29 08:03:33",https://sisac.acreditacion.gob.ec/storage/users/cmorales/accreditation_application/1380/pdf_actives_scopes/2024_02_29_13_03_33_Alcances_E-SAE-CSGAS-19.002_20240229_130329.pdf
