idOrganizacion,IdProducto,PrdFechaRegistro,PrdTipoCertificacion,PrdProductoProcesoServicio,PrdDocumentoNormativo,PrdEsquemaCertificacion,PrdDivisionNace,PrdCodigoCpa,PrdVigenteApartirDe
30,CP-1,--,Productos,"Eficiencia energética para Hornos Microondas","RTE INEN 123:2014 Eficiencia Energética para Hornos microondas,IEC 60335-2-25:2020. Aparatos electrodomésticos y similares. Seguridad. Parte 2-25: Requisitos particulares para hornos microondas, incluidos los hornos microondas combinados","1a,5",--,--,--
30,CP-2,--,Productos,"Eficiencia energética en televisiones","RTE INEN 117:2014 Eficiencia Energética en Televisiones. Reporte de consumo de energía, Método de ensayo y etiquetado,IEC 62301:2011 Household electrical appliances. Measurement of standby power","5,1a",--,--,--
5,CP-3,--,Procesos,"Best  Aquaculture Practices Límite Territorial: Mundial","Requirements for Certification Bodies Offering Certification Against the Criteria of the Global Aquaculture Alliance Best Aquaculture Practices Standards Issue 14.10 18 August 2021,Finfish and Crustacean Farm Standard (FCFS) Issue 2.4 23 May 2017,BAP Farm Standard Issue 3.1 (07-02-2023),Salmon Farms Issue 2.4 (25-01-2023),BAP Mollusk Farm Standard Issue 1.2 (25-01-2023)",6,--,--,--
5,CP-4,--,Procesos,"GLOBALG.A.P. Limitación Territorial: Mundial","GLOBALG.A.P Aseguramiento Integrado de Fincas, IFA V5.4-1 GFS  Puntos de Control y Criterios de Cumplimento, V5.4-1 GFS",6,--,--,--
5,CP-5,--,Procesos,"GLOBALG.A.P. Limitación Territorial: Mundial","GLOBALG.A.P Aseguramiento Integrado de Fincas, IFA V5.4-1 GFS  Puntos de Control y Criterios de Cumplimento, V5.4-1 GFS",6,--,--,--
5,CP-6,--,Procesos,"GLOBALG.A.P. Limitación Territorial: Mundial","GLOBALG.A.P Aseguramiento Integrado de Fincas, IFA V5.2  Puntos de Control y Criterios de Cumplimento, V5.2",6,--,--,--
5,CP-7,--,Procesos,"GLOBALG.A.P. Limitación Territorial: Mundial","GLOBALG.A.P Aseguramiento Integrado de Fincas, IFA V5.2  Puntos de Control y Criterios de Cumplimento, V5.2",6,--,--,--
5,CP-8,--,Procesos,"Best  Aquaculture Practices Límite Territorial: Mundial","Requirements for Certification Bodies Offering Certification Against the Criteria of the Global Aquaculture Alliance Best Aquaculture Practices Standards Issue 14.10 18 August 2021,Feed Mills Issue 3.1 31 May 2022",6,--,--,--
5,CP-9,--,Procesos,"Best  Aquaculture Practices Límite Territorial: Mundial","Requirements for Certification Bodies Offering Certification Against the Criteria of the Global Aquaculture Alliance Best Aquaculture Practices Standards Issue 14.10 18 August 2021,Finfish, Crustacean and Mollusk Hatcheries andNurseries Issue 2.1 Enero 2023",6,--,--,--
319,CP-10,--,Procesos,"Producción Orgánica","Instructivo de la Normativa General para Promover y Regular la Producción Orgánica - Ecológica - Biológica en el Ecuador. Resolución DAJ 20133ec 0201.0099, emitida el 30 de septiembre de 2013",6,--,--,--
319,CP-11,--,Procesos,"Producción Orgánica","Instructivo de la Normativa General para Promover y Regular la Producción Orgánica - Ecológica - Biológica en el Ecuador. Resolución DAJ 20133ec 0201.0099, emitida el 30 de septiembre de 2013",6,--,--,--
319,CP-12,--,Procesos,"Producción Orgánica","Instructivo de la Normativa General para Promover y Regular la Producción Orgánica - Ecológica - Biológica en el Ecuador. Resolución DAJ 20133ec 0201.0099, emitida el 30 de septiembre de 2013",6,--,--,--
319,CP-13,--,Procesos,"Producción Orgánica","Instructivo de la Normativa General para Promover y Regular la Producción Orgánica - Ecológica - Biológica en el Ecuador. Resolución DAJ 20133ec 0201.0099, emitida el 30 de septiembre de 2013",6,--,--,--
319,CP-14,--,Procesos,"Producción Orgánica","Instructivo de la Normativa General para Promover y Regular la Producción Orgánica - Ecológica - Biológica en el Ecuador. Resolución DAJ 20133ec 0201.0099, emitida el 30 de septiembre de 2013",6,--,--,--
319,CP-15,--,Procesos,"Producción Orgánica","Instructivo de la Normativa General para Promover y Regular la Producción Orgánica - Ecológica - Biológica en el Ecuador. Resolución DAJ 20133ec 0201.0099, emitida el 30 de septiembre de 2013",6,--,--,--
777,CP-16,--,Productos,"Cocinas que utilizan combustibles gaseosos","RTE INEN 005 (2R):2020 Artefactos de uso doméstico para cocinar, que utilizan combustibles gaseosos,NTE INEN 2259:2013 Artefactos de uso doméstico para cocinar, que utilizan combustibles gaseosos. Requisitos e inspección","1a,5",--,--,--
777,CP-17,--,Productos,"Cocinas que utilizan combustibles gaseosos","Resolución No. 0899 del 31 de agosto de 2021. Ministerio de Comercio, Industria y Turismo de la República de Colombia. Reglamento Técnico para algunos Gasodomésticos que se fabriquen nacionalmente o importen, para ser comercializados en Colombia","1a,1b,5",--,--,--
777,CP-18,--,Productos,"Eficiencia energética en gasodomésticos para cocción de alimentos","Resolución Nro. 41012 del Ministerio de Minas y Energía de la República de Colombia del 18 de septiembre de 2015 y el Anexo General Reglamento Técnico de Etiquetado RETIQ,Resolución Nro. 40298 del 28 de marzo del 2018 publicada por el Ministerio de Minas y Energía de la República de Colombia,Resolución Nro. 40993 del 28 de septiembre del 2018 publicada por el Ministerio de Minas y Energía de la República de Colombia,Resolución Nro. 40247 de 31 de agosto de 2020 publicada por el Ministerio de Minas y Energía de la República de Colombia,Resolución Nro. 40099 de 26 de marzo de 2021 publicada por el Ministerio de Minas y Energía de la República de Colombia","1b,5",--,--,--
777,CP-19,--,Productos,"Refrigeradores y Congeladores","RTE INEN 009:2020 (1R). Artefactos de uso doméstico para producción de frío.,NTE INEN 2206 (4R):2019 Aparatos de refrigeración domésticos. Requisitos y métodos de ensayo","1a,5",--,--,--
777,CP-20,--,Productos,"Refrigeradores y Congeladores","RTE INEN 009:2020 (1R). Artefactos de uso doméstico para producción de frío.,NTE INEN IEC 62552:2014 Artefactos domésticos de refrigeración-Características y métodos de ensayo","1a,5",--,--,--
777,CP-21,--,Productos,"Refrigeradores y Congeladores","RTE INEN 035 (1R): 2020. Eficiencia energética en artefactos de refrigeración de uso doméstico. Reporte de consumo de energía, métodos de prueba y etiquetado","1a,5",--,--,--
